# Price, Year of Construction, # of rooms, # of bedrooms, # of bathrooms, # of power rooms, # of garages
375000,1988,14,6,2,0,0
259000,2005,6,2,1,1,0
229990,2007,10,2,1,0,0
379000,1992,10,3,1,1,0
347500,2011,8,3,1,1,2
419000,1978,13,5,4,0,3
309000,1971,10,4,2,0,0
429000,1980,9,4,2,0,2
699000,1988,14,4,3,1,3
334900,1946,15,6,2,1,1
619000,2001,7,5,3,0,2
279000,1973,7,3,2,0,3
479900,1975,14,5,2,2,0
234000,2006,5,2,1,1,0
279000,2004,6,2,1,0,1
368500,1968,10,3,2,0,0
1350000,1985,15,4,4,1,2
367000,1980,9,4,2,0,1
229000,2007,7,2,1,1,0
299900,1971,10,3,2,0,0
315000,1988,6,3,2,0,1
479800,1970,10,5,3,2,1
249900,1992,11,2,1,1,0
2500000,1991,0,0,0,0,0
299000,2012,4,1,1,0,0
439900,1982,9,3,2,1,2
418950,1977,12,4,3,0,3
395000,1988,7,2,2,0,0
269000,1973,7,4,2,0,2
317000,1974,8,3,1,1,1
344000,1972,7,3,2,0,2
588000,1984,11,4,2,1,2
269900,1967,11,3,2,0,0
749000,2002,6,3,2,1,2
339000,1966,10,6,2,0,0
375000,1985,14,5,2,1,2
289900,1965,10,3,1,1,1
329000,1963,8,4,2,0,0
689000,2010,6,3,2,0,0
369000,2012,6,2,1,1,0
674000,1978,12,4,1,0,3
629000,1985,13,4,3,0,3
498000,1988,13,3,2,1,1
449000,1998,12,5,2,0,0
279900,1968,8,4,2,0,0
359000,1976,8,3,1,1,3
379000,1981,12,3,2,1,2
299000,1970,7,3,2,0,2
749000,2006,10,4,2,1,2
447000,1977,9,4,2,1,2
259000,1973,7,3,1,1,3
269900,1963,8,3,2,0,0
275000,2004,8,2,1,0,0
454900,1984,13,5,3,1,2
232800,1991,5,2,1,1,2
267900,2005,6,2,1,0,0
399000,2000,9,3,2,0,3
539000,2009,10,3,1,1,2
389000,1979,10,4,1,1,4
479000,1983,13,5,3,1,2
288000,2007,9,3,2,0,2
339900,1972,11,4,1,0,3
508900,2006,9,4,3,1,2
284000,1970,10,4,2,1,1
354000,2012,8,2,1,1,3
274000,1952,14,4,2,0,2
309900,1973,10,4,1,1,0
289000,1977,7,3,1,1,2
524500,1975,12,5,2,1,2
334900,2011,8,3,2,0,4
367900,1973,11,4,3,0,3
258000,2003,5,2,1,0,0
320000,1970,9,3,1,1,3
469000,2001,11,5,2,1,2
395000,2003,10,4,1,1,0
259900,2007,5,2,1,1,0
565000,1990,5,2,1,0,1
489900,2004,12,4,1,1,2
248000,2003,5,2,1,0,0
289000,2003,7,2,1,0,2
549800,1974,12,5,2,1,2
349000,1980,9,5,3,0,0
292000,2004,7,2,1,1,3
379000,1980,14,3,1,1,2
309500,1967,15,5,2,0,0
515000,1954,7,4,1,1,0
278888,1965,8,5,2,0,0
411000,1967,12,4,2,1,1
419000,1986,7,5,3,0,0
419900,1980,19,5,2,1,2
299000,1971,9,4,2,0,2
419000,2012,10,2,2,0,2
588800,1979,12,5,2,1,2
369000,1969,12,4,1,1,2
214900,1978,6,2,1,0,2
237900,2004,9,3,1,0,1
285000,1962,7,3,2,0,2
385000,1978,11,5,2,1,3
559000,1985,12,5,3,1,2
274000,1962,13,4,1,1,0
240000,1960,9,4,1,1,0
218000,2008,5,2,1,0,0
349000,1963,11,4,1,1,1
317500,1974,8,4,2,0,0
314500,2005,5,2,1,0,4
599000,2010,10,4,2,1,2
310000,1964,9,4,2,0,3
395000,1974,11,6,2,1,2
450000,1983,13,4,2,1,3
668000,2006,13,4,2,1,2
339900,1958,12,5,1,0,1
305000,1974,9,3,1,1,3
247100,2012,6,2,1,0,2
569000,1979,8,4,2,1,2
278000,1963,8,4,1,1,2
329000,1978,7,4,1,1,1
219000,1989,6,2,1,1,2
499999,1981,11,5,2,1,2
995000,2003,12,6,3,1,3
589550,1991,11,6,2,2,3
565000,2008,13,5,2,1,2
729000,2012,20,6,5,1,3
869900,1984,14,5,2,1,3
247000,2007,5,2,1,1,0
212000,2010,5,2,1,0,0
259900,1963,10,3,2,0,0
489000,1977,14,5,3,1,2
799000,1989,16,6,2,1,3
379000,1974,12,4,2,0,3
385000,1979,10,4,2,0,2
459000,2006,8,3,2,1,1
699000,1999,12,6,3,1,2
459900,1997,8,3,1,1,0
448000,1982,12,4,3,0,0
265000,1988,6,2,2,0,3
497000,1987,11,5,3,1,2
284500,1971,7,4,1,0,3
299000,1963,11,4,2,0,0
254900,1957,8,3,1,1,0
350000,1978,9,4,3,1,0
242000,2007,5,2,1,1,0
259000,1970,6,3,1,1,0
383500,1978,11,3,2,1,1
429000,1985,10,5,3,1,2
239900,2005,7,2,1,1,0
229000,1983,10,3,2,0,0
349000,1981,8,4,1,1,2
299900,1965,8,3,1,0,1
928000,2005,14,7,3,1,2
229000,2004,6,2,1,0,0
234900,2004,5,2,1,0,1
459000,2004,6,3,2,0,2
289900,2012,6,1,1,0,2
529000,1983,15,6,3,1,2
259900,1962,12,2,2,0,0
399000,2005,7,2,2,0,2
289000,2006,7,2,1,0,3
247128,2014,6,2,1,0,0
599000,2011,9,2,2,1,0
299500,1964,10,4,2,0,2
389000,1986,10,4,1,1,2
396000,1978,16,4,2,1,0
549000,2010,9,4,2,1,1
399800,1974,13,5,2,1,2
1695000,2004,15,5,3,1,0
259000,1972,9,3,1,0,0
269000,2000,7,2,1,0,3
359000,2011,5,2,1,0,1
239900,2008,7,2,1,1,0
449800,2002,7,4,2,1,3
205000,2000,5,2,1,0,2
219900,2005,6,2,1,0,0
648000,2012,12,5,3,1,0
319900,1966,9,4,2,0,3
379000,1978,8,5,2,0,0
344800,2003,6,3,1,0,1
875000,2007,13,6,3,1,3
439800,1986,8,3,2,1,3
435000,1979,14,5,3,0,2
493000,2003,8,4,2,1,3
799000,1993,13,5,3,1,2
214000,1999,6,2,1,0,2
214900,2000,5,2,1,0,2
629000,1989,17,5,3,1,2
799000,2007,12,4,3,0,3
209000,2011,5,2,1,0,0
319000,1973,11,3,2,0,0
2099000,2003,18,8,7,1,3
499000,1961,17,9,6,1,0
279900,1971,10,4,2,0,0
329000,1972,7,3,1,1,0
349000,2007,7,3,1,1,1
469900,1989,13,4,2,1,2
219000,1985,6,3,1,0,0
339000,1963,8,4,2,0,0
349000,1984,10,5,1,1,0
248000,2004,5,2,1,0,0
549900,2011,6,3,2,0,2
2300000,2012,29,6,5,0,0
250000,1950,7,4,2,0,0
325000,1968,10,4,2,0,4
585000,2001,12,4,2,1,2
765000,1989,15,5,3,1,3
